"efo_id","disease_full_name","number_of_associations"
"EFO_1001252","gastric cardia carcinoma",297
"EFO_1000527","Sinonasal Undifferentiated Carcinoma",89
"MONDO_0002380","myoepithelial tumor",137
"MONDO_0018191","tumor of testis and paratestis",583
"EFO_1000356","Malignant Mixed Neoplasm",1438
"EFO_0004142","colorectal neoplasm",7252
"MONDO_0004251","small intestine neoplasm",1090
"MONDO_0004669","salivary gland cancer",462
"EFO_0004606","gallbladder neoplasm",879
"MONDO_0001063","cardia cancer",49
"EFO_1000352","Malignant Germ Cell Tumor",1004
"MONDO_0003578","extragonadal nonseminomatous germ cell tumor",627
"MONDO_0000621","immune system cancer",6822
"MONDO_0002601","teratoma",391
"Orphanet_3261","Autoimmune lymphoproliferative syndrome",808
"MONDO_0004784","allergic asthma",14
"EFO_0007484","sick building syndrome",1
"MONDO_0030703","autoimmune vasculitis",129
"EFO_0003885","multiple sclerosis",2079
"EFO_0003929","relapsing-remitting multiple sclerosis",1021
"Orphanet_179006","Primary immunodeficiency due to a defect in adaptive immunity",5374
"Orphanet_220465","Laron syndrome with immunodeficiency",226
"Orphanet_317428","Combined immunodeficiency due to ORAI1 deficiency",3
"Orphanet_228000","Idiopathic CD4 lymphocytopenia",335
"EFO_0005565","janus kinase-3 deficiency",1
"Orphanet_317416","T-B+ severe combined immunodeficiency",1444
"Orphanet_317419","T-B- severe combined immunodeficiency",398
"Orphanet_277","Severe combined immunodeficiency due to adenosine deaminase deficiency",196
"Orphanet_647","Nijmegen breakage syndrome",445
"Orphanet_169110","Immunoglobulin heavy chain deficiency",0
"Orphanet_93367","CINCA syndrome without NLRP3 mutations",0
"EFO_0010647","STAT3 gain of function",2
"EFO_0005626","pancolitis",55
"EFO_1001295","microscopic colitis",60
"EFO_1001293","collagenous colitis",38
"MONDO_0016127","bacterial myositis",8
"EFO_1001311","End Stage Liver Disease",189
"EFO_1001387","Peliosis Hepatis",1
"MONDO_0000023","infantile liver failure",249
"EFO_0008573","alcoholic liver disease",606
"Orphanet_95719","Thyroid hemiagenesis",16
"EFO_1001431","suppurative thyroiditis",1
"EFO_1000931","euthyroid sick syndrome",21
"Orphanet_289103","Hypocalcemic rickets",122
"Orphanet_2882","Sitosterolemia",23
"Orphanet_401859","Lipoic acid synthetase deficiency",61
"Orphanet_391665","Homozygous familial hypercholesterolemia",421
"MONDO_0015130","acquired chronic primary adrenal insufficiency",71
"Orphanet_289548","Inherited isolated adrenal insufficiency due to CYP11A1 deficiency",0
"Orphanet_99763","Familial hyperreninemic hypoaldosteronism type 1",55
"Orphanet_251274","Familial hyperaldosteronism type III",113
"Orphanet_3376","Triploidy",25
"Orphanet_95495","Disease associated with non-acquired combined pituitary hormone deficiency",1033
"MONDO_0014369","postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome",9
"MONDO_0019590","rare endocrine growth disease",4255
"MONDO_0001422","primary aldosteronism",400
"MONDO_0018743","immune-mediated acquired neuromuscular junction disease",441
"EFO_0007233","diaphragm disease",327
"Orphanet_289380","Myosclerosis",61
"Orphanet_53347","Brody myopathy",4
"Orphanet_97238","Rippling muscle disease",49
"Orphanet_324604","Classic multiminicore myopathy",36
"Orphanet_2593","Tubular aggregate myopathy",143
"Orphanet_97232","Fingerprint body myopathy",47
"MONDO_0014326","nemaline myopathy 9",1
"EFO_0010565","myopathy, congenital, progressive, with scoliosis",101
"Orphanet_53698","Hyaline body myopathy",121
"Orphanet_397937","Polyglucosan body myopathy",80
"Orphanet_308552","Glycogen storage disease due to acid maltase deficiency, infantile onset",1
"Orphanet_70595","Sensory ataxic neuropathy - dysarthria - ophthalmoparesis",17
"Orphanet_206973","Congenital myotonia",205
"Orphanet_99736","Acetazolamide-responsive myotonia",18
"MONDO_0000727","scapuloperoneal myopathy",49
"Orphanet_266","Autosomal dominant limb-girdle muscular dystrophy type 1A",19
"Orphanet_206650","Autosomal dominant distal myopathy",937
"Orphanet_370953","Congenital muscular dystrophy due to dystroglycanopathy",776
"Orphanet_101077","X-linked Charcot-Marie-Tooth disease type 3",79
"Orphanet_139515","Charcot-Marie-Tooth disease type 4J",111
"Orphanet_99952","Charcot-Marie-Tooth disease type 4F",95
"EFO_0010266","Charcot-Marie-Tooth disease type 1G",77
"Orphanet_101102","Charcot-Marie-Tooth disease type 2H",97
"Orphanet_99938","Autosomal dominant Charcot-Marie-Tooth disease type 2D",32
"Orphanet_1145","X-linked distal arthrogryposis multiplex congenita",92
"Orphanet_53739","Distal hereditary motor neuropathy",989
"Orphanet_209224","Qualitative or quantitative defects of myotilin",234
"Orphanet_207070","Qualitative or quantitative defects of delta-sarcoglycan",43
"Orphanet_300751","Familial dilated cardiomyopathy with conduction defect due to LMNA mutation",134
"EFO_0004145","myopathy",6397
"Orphanet_1144","Arthrogryposis-like hand anomaly - sensorineural deafness",24
"Orphanet_319646","PGM-CDG",525
"Orphanet_217595","Syndrome associated with hypertrophic cardiomyopathy",1242
"Orphanet_217635","Familial restrictive cardiomyopathy",2138
"EFO_0000538","hypertrophic cardiomyopathy",2912
"MONDO_0001823","sick sinus syndrome",75
"Orphanet_166282","Familial sick sinus syndrome",37
"Orphanet_404584","Rare genetic bone development disorder",6284
"Orphanet_295038","Patella aplasia/hypoplasia, unilateral",0
"Orphanet_3168","Sillence syndrome",0
"Orphanet_2917","Polydactyly-myopia syndrome",8
"Orphanet_141007","Orofaciodigital syndrome type 9",164
"Orphanet_2439","Patterson-Stevenson-Fontaine syndrome",7
"Orphanet_294937","Brachydactyly",115
"Orphanet_199332","Endocrine-cerebro-osteodysplasia syndrome",28
"Orphanet_93323","Fibular hemimelia",0
"Orphanet_93321","Radial hemimelia",0
"Orphanet_295223","Madelung deformity, bilateral",0
"Orphanet_3329","Tibial aplasia - ectrodactyly",51
"Orphanet_2730","Postaxial tetramelic oligodactyly",18
"Orphanet_295169","Postaxial polydactyly type B, bilateral",0
"EFO_0010250","polydactyly, postaxial, A9",9
"Orphanet_295195","Synpolydactyly type 1",111
"Orphanet_294939","Preaxial polydactyly of fingers",133
"Orphanet_2900","Leri pleonosteosis",12
"Orphanet_3237","Multiple synostoses syndrome",190
"Orphanet_295002","Hyperphalangy",2
"Orphanet_2759","Imperforate oropharynx - costo vetebral anomalies",0
"Orphanet_3456","Wildervanck syndrome",40
"Orphanet_3267","Familial lambdoid synostosis",0
"Orphanet_2769","Familial osteodysplasia, Anderson type",0
"Orphanet_1794","Oculomaxillofacial dysostosis",25
"Orphanet_93346","Spondyloepimetaphyseal dysplasia congenita, Strudwick type",6
"Orphanet_168451","Spondyloepimetaphyseal dysplasia - abnormal dentition",95
"MONDO_0030019","anauxetic dysplasia 3",33
"Orphanet_163649","Spondyloepiphyseal dysplasia, Nishimura type",0
"Orphanet_156731","Dyssegmental dysplasia, Rolland-Desbuquois type",6
"Orphanet_168448","Spondyloepimetaphyseal dysplasia, Bieganski type",305
"Orphanet_3041","Intellectual disability - balding - patella luxation - acromicria",28
"Orphanet_63442","Angel-shaped phalango-epiphyseal dysplasia",21
"Orphanet_137834","Frank-Ter Haar syndrome",10
"Orphanet_93303","Brachyolmia type 1, Toledo type",36
"Orphanet_168544","Spondylometaphyseal dysplasia, Golden type",190
"Orphanet_93446","Primary bone dysplasia with decreased bone density",987
"Orphanet_93307","Multiple epiphyseal dysplasia type 4",26
"Orphanet_313855","FGFR2-related bent bone dysplasia",14
"Orphanet_79332","B4GALT1-CDG",49
"Orphanet_364820","TRPV4-related bone disorder",404
"Orphanet_93421","Type 2 collagen-related bone disorder",285
"Orphanet_85170","Mesomelic dysplasia, Savarirayan type",8
"MONDO_0018373","avascular necrosis",865
"Orphanet_2128","Hemihypertrophy",20
"Orphanet_138050","Pierre Robin syndrome associated with branchial archs anomalies",196
"MONDO_0015323","teratogenic Pierre Robin syndrome",61
"Orphanet_2328","Kapur-Toriello syndrome",4
"EFO_0004616","osteoarthritis, knee",188
"EFO_1001139","pulpitis",136
"MONDO_0018235","dysostosis with limb anomaly as a major feature",4266
"Orphanet_100033","Hypomaturation amelogenesis imperfecta",83
"Orphanet_2972","Non-eruption of teeth - maxillary hypoplasia - genu valgum",19
"Orphanet_2024","Hereditary gingival fibromatosis",28
"Orphanet_2287","Fused mandibular incisors",0
"EFO_1000048","postweaning multisystemic wasting syndrome",10
"Orphanet_164001","Rare odontal or periodontal disorder",388
"EFO_0000584","infectious meningitis",490
"EFO_1001098","pericoronitis",7
"EFO_0000649","periodontitis",1347
"MONDO_0001414","osteopoikilosis (disease)",217
"EFO_0005583","rickets",381
"MONDO_0024299","vitamin D-dependent rickets",123
"MONDO_0000836","disease of bone structure",2244
"MONDO_0000151","symphalangism",93
"MONDO_0003816","articular cartilage disease",27
"MONDO_0003366","hydrarthrosis",5
"EFO_1000900","discitis",4
"Orphanet_138055","Pierre Robin syndrome associated with bone disease",412
"Orphanet_99791","Dentin dysplasia type II",26
"Orphanet_171836","Amelogenesis imperfecta and gingival hyperplasia syndrome",1
"Orphanet_180766","Malformative syndrome with dentinogenesis imperfecta",280
"EFO_1001043","mesenteric vascular occlusion",2
"EFO_0010671","arterial embolism",213
"Orphanet_306768","Rare paroxysmal movement disorder",255
"MONDO_0015490","predominantly small-vessel vasculitis",715
"MONDO_0100148","X-linked complex neurodevelopmental disorder",237
"EFO_1000878","constrictive pericarditis",7
"Orphanet_2516","Microcephaly - cardiac defect - lung malsegmentation",119
"HP_0004763","Paroxysmal supraventricular tachycardia",129
"EFO_0002503","cardiac hypertrophy",1384
"HP_0000997","Axillary freckling",6
"EFO_0009847","dizziness",220
"HP_0030839","Knee pain",82
"EFO_0010072","toothache",32
"HP_0002573","Hematochezia",269
"MONDO_0010967","autosomal recessive nonsyndromic deafness 7",28
"MONDO_0020768","X-linked deafness",716
"Orphanet_36383","Familial vascular leukoencephalopathy",1
"HP_0003108","Hyperglycinuria",4
"EFO_1001842","Serotonin Syndrome",14
"HP_0011923","Decreased activity of mitochondrial complex I",2
"HP_0011924","Decreased activity of mitochondrial complex III",1
"HP_0002901","Hypocalcemia",237
"HP_0010931","Abnormal blood sodium concentration",338
"EFO_0006856","leucine-induced hypoglycemia",355
"EFO_1001024","Lutembacher's syndrome",0
"HP_0009020","Exercise-induced muscle fatigue",3
"HP_0001319","Neonatal hypotonia",72
"HP_0003549","Abnormality of connective tissue",1502
"HP_0009124","Abnormal adipose tissue morphology",52
"HP_0000978","Bruising susceptibility",20
"HP_0010609","Skin tags",22
"HP_0000964","Eczema",521
"HP_0002165","Pterygium of nails",2
"HP_0010813","Abnormal number of hair whorls",0
"HP_0000294","Low anterior hairline",14
"EFO_0004567","antipsychotic drug related weight gain",1
"HP_0012520","Perivascular spaces",81
"EFO_0004859","abdominal aortic artery calcification",0
"HP_0030956","Abnormality of cardiovascular system electrophysiology",1401
"HP_0011705","First degree atrioventricular block",117
"HP_0011105","Hypervolemia",134
"HP_0001279","Syncope",200
"Orphanet_65283","Timothy syndrome",251
"HP_0011107","Recurrent aphthous stomatitis",53
"HP_0011277","Abnormality of the urinary system physiology",2348
"HP_0100880","Nephrogenic rest",26
"HP_0001172","Abnormal thumb morphology",9
"HP_0009824","Upper limb undergrowth",58
"HP_0002857","Genu valgum",122
"HP_0001776","Bilateral talipes equinovarus",19
"HP_0009816","Lower limb undergrowth",3
"HP_0011842","Abnormality of skeletal morphology",2813
"HP_0005469","Flat occiput",3
"HP_0005465","Facial hyperostosis",0
"HP_0010539","Thin calvarium",0
"HP_0000236","Abnormality of the anterior fontanelle",12
"HP_0001385","Hip dysplasia",46
"EFO_0007053","myelosuppression",191
"HP_0000341","Narrow forehead",6
"HP_0000286","Epicanthus",92
"HP_0000153","Abnormality of the mouth",1415
"EFO_1001758","ageusia",9
"HP_0000171","Microglossia",4
"HP_0000319","Smooth philtrum",6
"HP_0000218","High palate",107
"EFO_0009869","xerostomia",81
"HP_0002002","Deep philtrum",5
"HP_0005281","Hypoplastic nasal bridge",0
"HP_0000444","Convex nasal ridge",1
"HP_0000465","Webbed neck",11
"EFO_0003889","functional laterality",67
"HP_0006978","Dysmyelinating leukodystrophy",4
"HP_0030303","Hypoplastic anterior commissure",2
"HP_0009717","Cortical tubers",71
"HP_0100256","Senile plaques",288
"HP_0000733","Stereotypy",186
"HP_0100023","Recurrent hand flapping",1
"HP_0000720","Mood swings",93
"HP_0100738","Abnormal eating behavior",8
"HP_0031987","Diminished ability to concentrate",6
"HP_0025382","Hypodipsia",5
"HP_0003470","Paralysis",614
"HP_0031826","Abnormal reflex",234
"HP_0002141","Gait imbalance",14
"HP_0001268","Mental deterioration",1028
"HP_0011198","EEG with generalized epileptiform discharges",1
"HP_0000483","Astigmatism",160
"HP_0030211","Slow pupillary light response",0
"HP_0000549","Abnormal conjugate eye movement",445
"HP_0007648","Punctate cataract",3
"HP_0011141","Age-related cataract",182
"HP_0011142","Age-related nuclear cataract",14
"HP_0000632","Lacrimation abnormality",170
"HP_0009926","Epiphora",170
"HP_0010314","Premature thelarche",14
"HP_0012207","Reduced sperm motility",89
"HP_0001876","Pancytopenia",625
"HP_0000400","Macrotia",17
"EFO_1002018","bronchial disease",3400
"Orphanet_60025","Pulmonary alveolar microlithiasis",4
"EFO_0000684","respiratory system disease",11220
"Orphanet_308463","Disorder of fructose metabolism",50
"Orphanet_79179","Disorder of glycerol metabolism",494
"EFO_0007459","pyruvate decarboxylase deficiency",0
"EFO_0007287","glucosephosphate dehydrogenase deficiency",23
"Orphanet_79215","Oligosaccharidosis",190
"EFO_0008572","malnutrition",402
"EFO_1001169","scurvy",66
"EFO_0010567","spastic tetraplegia and axial hypotonia, progressive",6
"EFO_0010262","leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate",10
"EFO_0010654","intellectual developmental disorder, autosomal recessive 72",11
"MONDO_0060745","intellectual developmental disorder with or without epilepsy or cerebellar ataxia",16
"EFO_0009070","intellectual developmental disorder with dysmorphic facies and ptosis",27
"MONDO_0000032","febrile seizures, familial",20
"MONDO_0032894","neurodevelopmental disorder with epilepsy, spasticity, and brain atrophy",14
"EFO_0003900","ciliopathy",2660
"Orphanet_33","Isovaleric acidemia",110
"EFO_0005840","Pyruvate kinase hyperactivity",73
"MONDO_0045014","tetrahydrobiopterin metabolic process disease",101
"Orphanet_79194","Disorder of serine or glycine metabolism",1935
"Orphanet_79173","Disorder of methionine cycle and sulfur amino acid metabolism",858
"Orphanet_46059","Lathosterolosis",107
"MONDO_0032909","mitochondrial complex 3 deficiency, nuclear type 10",11
"Orphanet_254851","Maternally-inherited mitochondrial dystonia",0
"Orphanet_254807","Multiple mitochondrial DNA deletion syndrome",922
"Orphanet_254843","Exercise intolerance with lactic acidosis",12
"MONDO_0045010","glycoprotein metabolism disease",2864
"Orphanet_309319","Disorder of sialic acid metabolism",20
"Orphanet_96333","Rare otorhinolaryngological malformation",3624
"Orphanet_262716","Partial duplication of the short arm of chromosome 4",2
"Orphanet_262923","Partial duplication of the long arm of chromosome 11",1
"Orphanet_262977","Partial trisomy of the long arm of chromosome 18",0
"Orphanet_262633","Partial duplication of chromosome 7",12
"Orphanet_96071","Distal trisomy 3p",0
"Orphanet_262677","Partial duplication of chromosome 17",524
"Orphanet_262196","Partial duplication of chromosome 2",1
"Orphanet_262842","Partial duplication of the long arm of chromosome 2",0
"Orphanet_96112","Non-distal trisomy 9q",0
"Orphanet_96101","Distal trisomy 9q",0
"Orphanet_98152","Autosomal uniparental disomy",137
"Orphanet_99324","Paternal uniparental disomy of chromosome 13",1
"Orphanet_96181","Maternal uniparental disomy of chromosome 6",0
"Orphanet_261120","14q11.2 microdeletion syndrome",14
"Orphanet_261857","Partial deletion of the short arm of chromosome 1",50
"Orphanet_261965","Partial monosomy of the short arm of chromosome 17",1038
"Orphanet_1580","Distal monosomy 10p",1
"Orphanet_282124","Partial deletion of chromosome 12",8
"Orphanet_261776","Partial deletion of chromosome 3",246
"Orphanet_96167","Recombinant 8 syndrome",251
"MONDO_0019717","chromosomal disease with overgrowth",74
"Orphanet_98157","Gonosome structural anomaly",314
"Orphanet_2792","Otofaciocervical syndrome",13
"Orphanet_183573","Genetic overgrowth/obesity syndrome",3787
"Orphanet_314002","Contractures-webbed neck-micrognathia-hypoplastic nipples syndrome",0
"Orphanet_3439","Von Voss-Cherstvoy syndrome",12
"Orphanet_3368","Trigonocephaly - bifid nose - acral anomalies",27
"Orphanet_102283","Multiple congenital anomalies/dysmorphic syndrome-intellectual disability",5267
"Orphanet_3293","Telecanthus - hypertelorism - strabismus - pes cavus",0
"Orphanet_238","Digestive duplication",0
"Orphanet_171208","Intermediate anorectal malformation",0
"Orphanet_1149","Arthrogryposis-like syndrome",0
"Orphanet_295225","Congenital elbow dislocation, unilateral",0
"Orphanet_295047","Macrodactyly of toes",0
"Orphanet_295241","Macrodactyly of fingers, bilateral",0
"Orphanet_140162","Inherited cancer-predisposing syndrome",6156
"MONDO_0014968","encephalopathy, progressive, with amyotrophy and optic atrophy",16
"MONDO_0009633","microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma",49
"MONDO_0021106","laminopathy",1960
"Orphanet_254704","Genetic hyperferritinemia without iron overload",0
"MONDO_0060577","neurodevelopmental disorder with microcephaly, ataxia, and seizures",10
"EFO_0010655","megabladder, congenital",12
"EFO_0010660","neurodevelopmental disorder with macrocephaly and with or without seizures",7
"GO_0055086","nucleobase-containing small molecule metabolic process",0
"GO_0023014","signal transduction by phosphorylation",0
"GO_0051186","cofactor metabolic process",0
"GO_0045321","leukocyte activation",0
"EFO_0010731","response to low calorie diet",0
"EFO_1001364","Lymphatic Metastasis",0
"OBI_1110021","infect",0
"GO_0046655","folic acid metabolic process",0
"EFO_0006344","medication adherence behavior",3
"EFO_1001877","anxiety-like behavior",0
"EFO_0004329","alcohol drinking",758
"EFO_0006802","response to red blood cell transfusion",1
"EFO_0010054","response to mycophenolic acid",0
"GO_1901559","response to ribavirin",3
"EFO_0007943","response to platinum-based neoadjuvant chemotherapy",0
"GO_0051384","response to glucocorticoid",7
"GO_0031427","response to methotrexate",3
"EFO_0008484","response to carbamazepine",3
"EFO_0010747","response to levodopa",0
"EFO_0007919","response to diclofenac",3
"EFO_0010062","response to salmeterol",9
"GO_0046677","response to antibiotic",2
"EFO_0006328","response to venlafaxine",0
"EFO_0007926","hyper-inflammatory immune response",0
"EFO_0009131","response to polyunsaturated fatty acid supplementation",15
"GO_0045184","establishment of protein localization",0
"EFO_1001050","multiple system atrophy",359
"MONDO_0000211","striatal degeneration, autosomal dominant",68
"GO_0050913","sensory perception of bitter taste",24
"GO_0071704","organic substance metabolic process",0
"GO_0061041","regulation of wound healing",105
"GO_0090330","regulation of platelet aggregation",0
"GO_0050777","negative regulation of immune response",0
"GO_2000292","regulation of defecation",0
"GO_0120061","negative regulation of gastric emptying",0
"GO_0050708","regulation of protein secretion",0
"GO_0040017","positive regulation of locomotion",0
"GO_0050794","regulation of cellular process",0
"EFO_0009690","urinary system disease",14110
"EFO_0009024","Bardet-Biedl syndrome 4",198
"EFO_0009021","Bardet-Biedl syndrome 1",39
"MONDO_0054842","polycystic kidney disease 6 with or without polycystic liver disease",36
"Orphanet_401996","Karyomegalic interstitial nephritis",337
"Orphanet_88939","Pseudohypoaldosteronism type 2B",84
"Orphanet_306522","Familial primary hypomagnesemia with normocalcuria",114
"MONDO_0009968","renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss",16
"Orphanet_79444","Pseudohypoparathyroidism type 1C",93
"MONDO_0018700","pseudohypoparathyroidism without Albright hereditary osteodystrophy",111
"Orphanet_214","Cystinuria",38
"MONDO_0024525","FRTS1",88
"Orphanet_163690","Hypotonia - cystinuria syndrome",190
"Orphanet_306504","Congenital nephrotic syndrome-interstitial lung disease-epidermolysis bullosa syndrome",2
"Orphanet_329481","Lipoprotein glomerulopathy",188
"Orphanet_163696","Action myoclonus - renal failure syndrome",152
"Orphanet_93222","Sporadic idiopathic steroid-resistant nephrotic syndrome with diffuse mesangial proliferation",0
"Orphanet_93217","Familial idiopathic steroid-resistant nephrotic syndrome with diffuse mesangial sclerosis",0
"Orphanet_93578","Atypical hemolytic-uremic syndrome with B factor anomaly",8
"Orphanet_231214","Beta-thalassemia major",147
"Orphanet_79473","Porphyria variegata",223
"Orphanet_213","Cystinosis",74
"MONDO_0030105","galactosemia 4",13
"Orphanet_308473","Erythrocyte galactose epimerase deficiency",0
"Orphanet_2116","Hartnup disease",61
"Orphanet_2716","Oculo-skeletal-renal syndrome",0
"Orphanet_1849","Infundibulopelvic stenosis - multicystic kidney",16
"Orphanet_3326","Thymic-renal-anal-lung dysplasia",33
"Orphanet_217266","BNAR syndrome",4
"Orphanet_353284","Rubinstein-Taybi syndrome due to EP300 haploinsufficiency",51
"Orphanet_3380","Trisomy 18",69
"Orphanet_672","Pallister-Hall syndrome",98
"Orphanet_116","Beckwith-Wiedemann syndrome",91
"Orphanet_231108","Familial rhabdoid tumor",51
"EFO_1000129","Bladder Small Cell Neuroendocrine Carcinoma",22
"MONDO_0002450","prostatic adenoma",5
"EFO_0000205","stage I endometrioid carcinoma",2
"Orphanet_398934","Malignant epithelial tumor of ovary",5231
"EFO_1000171","Cervical Small Cell Carcinoma",91
"EFO_1000242","Endometrial Undifferentiated Carcinoma",68
"MONDO_0002879","uterine body mixed cancer",12
"MONDO_0021218","placenta neoplasm",368
"MONDO_0021254","corpus uteri neoplasm",751
"EFO_1001192","struma ovarii",15
"EFO_1000420","Ovarian Gonadoblastoma",0
"EFO_1001111","placental site trophoblastic tumor",39
"MONDO_0002259","gonadal disease",8221
"Orphanet_325524","Classic congenital lipoid adrenal hyperplasia due to STAR deficency",0
"Orphanet_100","Ataxia-telangiectasia",2489
"Orphanet_174590","Congenital hypogonadotropic hypogonadism",2758
"Orphanet_432","Normosmic congenital hypogonadotropic hypogonadism",333
"Orphanet_2235","Hypogonadotropic hypogonadism - retinitis pigmentosa",0
"Orphanet_739","Prader-Willi syndrome",323
"Orphanet_398069","Prader-Willi syndrome due to point mutation",164
"EFO_1001108","pituitary apoplexy",12
"Orphanet_3157","Septo-optic dysplasia",380
"Orphanet_786","Glucocorticoid resistance",127
"Orphanet_85112","Palmoplantar keratoderma - XX sex reversal - predisposition to squamous cell carcinoma",5
"Orphanet_2983","Disorder of sex development - intellectual disability",6
"EFO_0000545","infertility",6023
"MONDO_0018400","rare female infertility due to an adrenal disorder",85
"Orphanet_400011","Rare female infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin",2786
"Orphanet_399839","Rare female infertility due to a congenital hypogonadotropic hypogonadism",2339
"EFO_1001388","Pelvic Inflammatory Disease",328
"MONDO_0015853","deficient breast volume or number",396
"Orphanet_3138","Ulnar-mammary syndrome",32
"EFO_0004230","endometrial neoplasm",2308
"EFO_0007313","HIV-associated nephropathy",66
"EFO_0008619","Simple Cyst of Kidney",107
"MONDO_0002462","glomerulonephritis (disease)",1691
"EFO_0005297","Granulomatosis with Polyangiitis",301
"EFO_0003780","Behcet's syndrome",295
"EFO_1001151","renal glycosuria",11
"EFO_1001153","renovascular hypertension",12
"MONDO_0001730","urethral syndrome",110
"EFO_0008507","interstitial cystitis",124
"EFO_1001862","urinary bladder fistula",0
"MONDO_0014274","L-ferritin deficiency",142
"Orphanet_221046","Poikiloderma with neutropenia",39
"Orphanet_369852","Recurrent infections-myelofibrosis-nephromegaly syndrome",259
"Orphanet_3226","Deafness - lymphedema - leukemia",79
"Orphanet_1318","Campomelia, Cumming type",23
"Orphanet_125","Bloom syndrome",308
"Orphanet_255132","Adult-onset autosomal recessive sideroblastic anemia",178
"Orphanet_71202","Rare hemorrhagic disorder due to a constitutional platelet anomaly",2066
"MONDO_0011071","hereditary thrombocytopenia and hematologic cancer predisposition syndrome",1
"Orphanet_67044","Thrombocytopenia with congenital dyserythropoietic anemia",22
"Orphanet_101022","Mediterranean macrothrombocytopenia",5
"Orphanet_98885","Bleeding diathesis due to glycoprotein VI deficiency",93
"Orphanet_83639","Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency",24
"Orphanet_3324","Familial thrombomodulin anomalies",0
"Orphanet_714","Hemolytic anemia due to diphosphoglycerate mutase deficiency",22
"Orphanet_90031","Non-spherocytic hemolytic anemia due to hexokinase deficiency",13
"Orphanet_98370","Hemolytic anemia due to hexose monophosphate shunt and glutathione metabolism anomalies",418
"Orphanet_231401","Alpha-thalassemia - myelodysplastic syndrome",16
"Orphanet_2132","Hemoglobin C disease",0
"EFO_1001115","POEMS syndrome",42
"MONDO_0020081","macrophage or histiocytic tumor",203
"EFO_1001948","childhood T lymphoblastic lymphoma",45
"EFO_0009087","non-typhoidal Salmonella bacteremia",2
"EFO_0007481","septicemic plague",5
"EFO_1001943","childhood acute megakaryoblastic leukemia",15
"EFO_1001945","childhood acute myeloid leukemia with maturation",23
"EFO_1001025","lymphangiectasis",24
"Orphanet_331249","Immunodeficiency syndrome with hypopigmentation",733
"MONDO_0017595","aggressive B-cell non-Hodgkin lymphoma",2230
"MONDO_0044889","high grade B-cell lymphoma",96
"EFO_1000956","hairy cell leukemia",363
"MONDO_0018906","follicular lymphoma",204
"Orphanet_1414","Cholestasis-lymphedema syndrome",105
"Orphanet_86914","Lymphedema - cerebral arteriovenous anomaly",25
"Orphanet_69735","Hypotrichosis - lymphedema - telangiectasia",7
"MONDO_0004528","lymph node palisaded myofibroblastoma",0
"MONDO_0044744","prekallikrein deficiency",3
"MONDO_0001014","chronic leukemia",2631
"MONDO_0020312","atypical chronic myeloid leukemia",40
"MONDO_0019964","thymic neuroendocrine tumor",13
"MONDO_0019472","extranodal nasal NK/T cell lymphoma",207
"EFO_1000228","EBV-Positive T-Cell Lymphoproliferative Disorder of Childhood",0
"MONDO_0004021","mediastinal malignant lymphoma",122
"EFO_1000077","AIDS-Related Primary Central Nervous System Lymphoma",3
"EFO_1001844","skin mastocytoma",1
"Orphanet_322126","Genetic tumor of hematopoietic and lymphoid tissues",8288
"MONDO_0030069","hyper-IgE recurrent infection syndrome 5, autosomal recessive",0
"Orphanet_331226","Autosomal recessive hyper-IgE syndrome due to TYK2 deficiency",82
"Orphanet_101090","Hyper-IgM syndrome type 3",307
"MONDO_0020529","ACTH-independent Cushing syndrome",99
"EFO_1000782","altitude sickness",257
"EFO_0009614","clavicle fracture",128
"MONDO_0043510","brain injury",1474
"MONDO_0044782","esophageal ulcer",199
"MONDO_0003724","non-proliferative fibrocystic change of the breast",6
"MONDO_0021115","luminal B breast carcinoma",0
"MONDO_0100164","permanent neonatal diabetes mellitus",13
"MONDO_0030089","diabetes mellitus, permanent neonatal 4",0
"EFO_0000668","preeclampsia",1604
"EFO_1001403","Postpartum Thyroiditis",16
"EFO_1001888","eye infection",170
"Orphanet_270","Oculopharyngeal muscular dystrophy",120
"Orphanet_221145","Cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies",38
"Orphanet_90348","Autosomal dominant cutis laxa",133
"MONDO_0020169","rare disorder with ptosis",1998
"Orphanet_98913","Postsynaptic congenital myasthenic syndromes",186
"MONDO_0030067","treacher collins syndrome 4",0
"Orphanet_98578","Ptosis",2230
"Orphanet_98897","Oculopharyngodistal myopathy",5
"Orphanet_99169","Epiblepharon",0
"Orphanet_2340","Keratosis follicularis spinulosa decalvans",71
"Orphanet_90339","Rosselli-Gulienetti syndrome",1
"Orphanet_98950","Partial cryptophthalmia",0
"Orphanet_48431","Congenital cataracts - facial dysmorphism - neuropathy",179
"Orphanet_79459","Follicular atrophoderma-basal cell carcinoma",0
"Orphanet_3440","Waardenburg syndrome",119
"Orphanet_895","Waardenburg syndrome type 2",61
"Orphanet_93474","Scheie syndrome",23
"Orphanet_93476","Hurler-Scheie syndrome",33
"Orphanet_98597","Eyelashes hypertrophy",0
